"Date","Price","Open","High","Low","Vol.","Change %"
"06/02/1988","100.02","100.02","100.02","100.02","","0.02%"
"06/03/1988","100.04","100.04","100.04","100.04","","0.02%"
"06/06/1988","100.09","100.09","100.09","100.09","","0.05%"
"06/07/1988","100.11","100.11","100.11","100.11","","0.02%"
"06/08/1988","100.13","100.13","100.13","100.13","","0.02%"
"06/09/1988","100.15","100.15","100.15","100.15","","0.02%"
"06/10/1988","100.16","100.16","100.16","100.16","","0.01%"
"06/13/1988","100.22","100.22","100.22","100.22","","0.06%"
"06/14/1988","100.24","100.24","100.24","100.24","","0.02%"
"06/15/1988","100.25","100.25","100.25","100.25","","0.01%"
"06/16/1988","100.27","100.27","100.27","100.27","","0.02%"
"06/17/1988","100.20","100.20","100.20","100.20","","-0.07%"
"06/20/1988","100.18","100.18","100.18","100.18","","-0.02%"
"06/21/1988","100.72","100.72","100.72","100.72","","0.54%"
"06/22/1988","101.31","101.31","101.31","101.31","","0.59%"
"06/23/1988","101.26","101.26","101.26","101.26","","-0.05%"
"06/24/1988","101.04","101.04","101.04","101.04","","-0.22%"
"06/27/1988","100.29","100.29","100.29","100.29","","-0.74%"
"06/28/1988","101.04","101.04","101.04","101.04","","0.75%"
"06/29/1988","100.99","100.99","100.99","100.99","","-0.05%"
"06/30/1988","101.48","101.48","101.48","101.48","","0.49%"
"07/01/1988","101.34","101.34","101.34","101.34","","-0.14%"
"07/05/1988","102.05","102.05","102.05","102.05","","0.70%"
"07/06/1988","101.45","101.45","101.45","101.45","","-0.59%"
"07/07/1988","101.64","101.64","101.64","101.64","","0.19%"
"07/08/1988","101.59","101.59","101.59","101.59","","-0.05%"
"07/11/1988","101.99","101.99","101.99","101.99","","0.39%"
"07/12/1988","101.52","101.52","101.52","101.52","","-0.46%"
"07/13/1988","102.13","102.13","102.13","102.13","","0.60%"
"07/14/1988","102.36","102.36","102.36","102.36","","0.23%"
"07/15/1988","102.76","102.76","102.76","102.76","","0.39%"
"07/18/1988","102.74","102.74","102.74","102.74","","-0.02%"
"07/19/1988","102.25","102.25","102.25","102.25","","-0.48%"
"07/20/1988","102.56","102.56","102.56","102.56","","0.30%"
"07/21/1988","101.73","101.73","101.73","101.73","","-0.81%"
"07/22/1988","101.14","101.14","101.14","101.14","","-0.58%"
"07/25/1988","101.51","101.51","101.51","101.51","","0.37%"
